ChaveInstrumento,NomeContratado,NomeUnidadeGestoraReferencia,ModalidadeLicitacao,ValorTotalContratacaoInstrumento,ValorAtualContratacaoInstrumento,percentual_sobrecusto
004E0100002-2022.004E0100002.01.0001-000001-2022-000002-2022,ROMERSON MEDINA NOGUEIRA,Faculdade de Filosofia Ciências e Letras de Alegre,Pregão Presencial,30000.0,120000.0,300.0
004E0100001-2022.004E0100001.17.0001-000001-2022-000021-2022,BANCO DO ESTADO DO ESPIRITO SANTO S A,Serviço Autônomo de Água e Esgoto de Alegre,,47996.16,191954.64,299.93749499959995
004E0100001-2022.004E0100001.17.0001-000001-2022-000022-2022,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO - SICREDI UNIÃO RS/ES",Serviço Autônomo de Água e Esgoto de Alegre,,20003.04,40006.08,100.0
004E0100001-2022.004E0100001.17.0001-000001-2022-000014-2023,V R N  HOTEL E RESTAURANTE LTDA,Serviço Autônomo de Água e Esgoto de Alegre,,20003.04,78003.04,289.9559266991417
004E0100001-2022.004E0100001.17.0001-000001-2022-000016-2023,BANCO COOPERATIVO SICOOB S.A.,Serviço Autônomo de Água e Esgoto de Alegre,,30067.2,96067.2,219.5083014048531
004E0100002-2022.004E0100002.09.0008-000005-2022,CENTRO DE DIAGNOSTICOS E GESTAO EM SAUDE LTDA,Faculdade de Filosofia Ciências e Letras de Alegre,,7715.0,20726.48,168.65171743357098
004E0100001-2022.004E0100001.17.0001-000001-2022-000013-2023,BANCO BRADESCO S.A.,Serviço Autônomo de Água e Esgoto de Alegre,,30067.2,79067.2,162.96828437633036
004E0100002-2022.004E0100002.09.0003-000003-2022,MOREIRA ASSESSORIA CONTABIL LTDA,Faculdade de Filosofia Ciências e Letras de Alegre,,17520.0,52560.0,200.0
004E0100002-2022.004E0100002.09.0009-000006-2022,ACESSE COMUNICACAO LTDA,Faculdade de Filosofia Ciências e Letras de Alegre,,7200.0,29518.56,309.98
004E0500002-2022.004E0500002.09.0006-000072-2022,CIRCULO DE OPERÁRIOS DE ALEGRE ES,Fundo Municipal de Assistência Social de Alegre,,9558.0,49430.64,417.1650973006905
004E0700001-2022.004E0700001.01.0031-000015-2022-000020-2023,CONSTRUTORA MENICUCCI EIRELI,Prefeitura Municipal de Alegre,Tomada de Preços,2331528.01,2791402.66,19.7241743623745
004E0500001-2022.004E0500001.09.0080-000099-2022,JOANA DARQUES M. CORRENTE,Fundo Municipal de Saúde de Alegre,,27600.0,142920.12,417.8265217391304
004E0700001-2022.004E0700001.02.0005-000017-2022-000114-2022,LINK CARD ADMINISTRADORA DE BENEFICIOS EIRELI,Prefeitura Municipal de Alegre,Pregão Eletrônico,3005480.6,18000658.2,498.92777880516013
004E0700001-2022.004E0700001.02.0005-000017-2022-000115-2022,LINK CARD ADMINISTRADORA DE BENEFICIOS EIRELI,Prefeitura Municipal de Alegre,Pregão Eletrônico,132031.2,717390.0,443.3488448184974
004E0700001-2022.004E0700001.02.0005-000017-2022-000116-2022,LINK CARD ADMINISTRADORA DE BENEFICIOS EIRELI,Prefeitura Municipal de Alegre,Pregão Eletrônico,129104.0,717062.5,455.4146269674061
004E0700001-2022.004E0700001.02.0005-000017-2022-000117-2022,LINK CARD ADMINISTRADORA DE BENEFICIOS EIRELI,Prefeitura Municipal de Alegre,Pregão Eletrônico,1118028.0,6276948.0,461.4303040710966
004E0700001-2022.004E0700001.09.0019-000073-2022,ATS-PROMOCOES LTDA.,Prefeitura Municipal de Alegre,,180000.0,900000.0,400.0
004E0700001-2022.004E0700001.01.0018-000005-2022-000151-2022,TECSYSTEM TECNOLOGIA EM SOFTWARE LTDA,Prefeitura Municipal de Alegre,Tomada de Preços,1620170.0,1845170.0,13.887431565823338
005E0500001-2022.005E0500001.09.0067-000009-2022,SAPRA LANDAUER SERVICO DE ASSESSORIA E PROTECAO RADIOLOGICA LTDA.,Fundo Municipal de Saúde de Alfredo Chaves,,1219.2,4672.8,283.2677165354331
004E0700001-2022.004E0700001.09.0041-000123-2022,BRASILSEG COMPANHIA DE SEGUROS,Prefeitura Municipal de Alegre,,650.0,2600.0,300.0
004L0200001-2022.004L0200001.10.0001-000004-2022,A.T.S. PROMOCOES LTDA,Câmara Municipal de Alegre,,93000.0,646475.28,595.1347096774194
004L0200001-2022.004L0200001.10.0002-000001-2023,MOREIRA ASSESSORIA CONTÁBIL,Câmara Municipal de Alegre,,90000.0,497340.0,452.59999999999997
005L0200001-2022.005L0200001.01.0002-000001-2022-000004-2022,EL PRODUCOES DE SOFTWARE LTDA,Câmara Municipal de Alfredo Chaves,Tomada de Preços,71850.0,277313.76,285.96208768267223
005E0100001-2022.005E0100001.09.0011-000003-2022,AGENCIA REG. INTER. SANEAM. BASICO DO ESP. SANTO,Serviço Autônomo de Água e Esgoto de Alfredo Chaves,,5849.94,50849.94,769.2386588580396
005E0700001-2022.005E0700001.09.0384-000062-2022,L. RICARDO DE MAGALHÃES EIRELI - EPP,Prefeitura Municipal de Alfredo Chaves,,24512.16,105602.2,330.81556256160206
005E0700001-2022.005E0700001.09.0386-000070-2022,NP TECNOLOGIA E GESTAO DE DADOS LTDA,Prefeitura Municipal de Alfredo Chaves,,10865.0,46056.49,323.89774505292223
006E0700001-2022.006E0700001.11.0001-000027-2022,SERVIÇO COLATINENSE DE MEIO AMB. E SAN.  AMBIENTAL,Prefeitura Municipal de Alto Rio Novo,,132547.2,563325.2,324.99969822070926
006E0700001-2022.006E0700001.16.0013-000015-2022-000083-2022,LINK CARD ADMINISTRADORA DE BENEFÍCIOS EIRELI-EPP,Prefeitura Municipal de Alto Rio Novo,,1980000.0,7200098.0,263.6413131313131
005L0200001-2022.005L0200001.09.0044-000001-2023,POSTO LEVY-KAR LTDA,Câmara Municipal de Alfredo Chaves,,16290.0,77580.0,376.24309392265195
007E0500001-2022.007E0500001.01.0006-000003-2022-000007-2022,TEC BRASIL LTDA - EPP,Fundo Municipal de Saúde de Anchieta,Pregão Presencial,127200.0,508800.0,300.0
007E0500001-2022.007E0500001.01.0006-000003-2022-000008-2022,DW MANUTENCAO DE EQUIPAMENTOS MEDICOS LTDA,Fundo Municipal de Saúde de Anchieta,Pregão Presencial,98520.0,394080.0,300.0
007E0500001-2022.007E0500001.01.0006-000003-2022-000009-2022,GBR SERV. DE MANUT. HOSP. E ODONT. LTDA.,Fundo Municipal de Saúde de Anchieta,Pregão Presencial,153600.0,635634.6,313.82460937499997
007E0500001-2022.007E0500001.01.0017-000027-2022-000005-2023,UL QUIMICA E CIENTÍFICA LTDA,Fundo Municipal de Saúde de Anchieta,Pregão Eletrônico,81864.72,418094.82,410.71428571428567
007E0500001-2022.007E0500001.02.0001-000002-2022-000006-2022,TECNOCRYO GASES LTDA,Fundo Municipal de Saúde de Anchieta,Pregão Presencial,59750.0,239000.0,300.0
006E0700001-2022.006E0700001.01.0004-000008-2022-000025-2022,NUNES TRANSPORTE E TURISMO LTDA ME,Prefeitura Municipal de Alto Rio Novo,Pregão Presencial,557972.64,2234625.36,300.4901315591388
006E0700001-2022.006E0700001.01.0004-000008-2022-000024-2022,GRIMAR DE ARAUJO CABRAL-ME,Prefeitura Municipal de Alto Rio Novo,Pregão Presencial,579759.84,2138311.58,268.8271302130897
006E0700001-2022.006E0700001.01.0009-000016-2022-000053-2022,VIAÇÃO SÃO LUIZ LTDA EPP,Prefeitura Municipal de Alto Rio Novo,Pregão Presencial,1875227.57,6722190.74,258.47333131946215
006E0500002-2022.006E0500002.16.0003-000015-2022-000083-FME-2022,LINK CARD ADMINISTRADORA DE BENEFÍCIOS EIRELI-EPP,Fundo Municipal de Manutenção e Desenvolvimento do Ensino Fundamental e de Valorização do Magistério de Alto Rio Novo,,260000.0,1040000.0,300.0
007E0700001-2022.007E0700001.01.0011-000001-2022-000067-2022,ARTCOM,Prefeitura Municipal de Anchieta,Concorrência,1500000.0,6000000.0,300.0
007E0700001-2022.007E0700001.01.0021-000003-2022-000073-2022,MAFRA CONSTRUTORA LTDA ME,Prefeitura Municipal de Anchieta,Concorrência,1833845.4,1833845.4,0.0
007E0700001-2022.007E0700001.01.0039-000016-2022-000072-2022,PENHA DE SOUZA JAMARIQUELI EPP,Prefeitura Municipal de Anchieta,Pregão Presencial,164999.8,733619.8,344.6185995376964
007E0700001-2022.007E0700001.01.0048-000006-2022-000095-2023,R.R. COSTA CONSTRUÇÕES LTDA,Prefeitura Municipal de Anchieta,Concorrência,4727819.07,5322630.69,12.581099470881405
007E0500001-2022.007E0500001.10.0001-000011-2022,DEPARTAMENTO DE IMPRENSA OFICIAL,Fundo Municipal de Saúde de Anchieta,,5000.0,20000.0,300.0
007E0700001-2022.007E0700001.01.0056-000022-2022-000002-2023,ESSENCIAL GESTÃO PUBLICA EIRELI - ME,Prefeitura Municipal de Anchieta,Pregão Presencial,296000.0,1148005.68,287.83975675675674
007E0700001-2022.007E0700001.01.0058-000009-2022-000050-2023,R.R. COSTA CONSTRUÇÕES LTDA,Prefeitura Municipal de Anchieta,Concorrência,8992753.26,10453833.02,16.24730177462914
007E0700001-2022.007E0700001.02.0003-000007-2022-000006-2023,L DAS NEVES BENEVIDES EIRELI,Prefeitura Municipal de Anchieta,Pregão Presencial,881820.0,3894799.65,341.6774001496904
007E0700001-2022.007E0700001.02.0003-000007-2022-000050-2022,DESTAQUE CONSTRUTORA LTDA,Prefeitura Municipal de Anchieta,Pregão Presencial,2112868.0,9287398.8,339.5636073810574
007E0700001-2022.007E0700001.02.0042-000044-2022-000011-2023,ILUMITERRA CONSTRUÇÕES E MONTAGENS LTDA,Prefeitura Municipal de Anchieta,Pregão Presencial,843382.87,3591990.01,325.902652018531
007E0700001-2022.007E0700001.01.0018-000004-2022-000061-2022,IMTRAFF- CONSULTORIA E PROJETOS DE ENGENHARIA LTDA,Prefeitura Municipal de Anchieta,Tomada de Preços,199980.0,219978.0,10.0
007E0700001-2022.007E0700001.09.0012-000055-2022,SILVA MARA DAS NEVES PINTO,Prefeitura Municipal de Anchieta,,14400.0,65353.0,353.84027777777777
007E0700001-2022.007E0700001.01.0045-000008-2022-000081-2024,TECFORT CONSTRUTORA EIRELI,Prefeitura Municipal de Anchieta,Tomada de Preços,1967680.72,3487230.58,77.22542811722016
007E0500001-2022.007E0500001.02.0006-000006-2022-000013-FMS-2022,CIBOX COMERCIO E SERVIÇOS LTDA EPP,Fundo Municipal de Saúde de Anchieta,Pregão Presencial,95220.0,380880.0,300.0
007E0700001-2022.007E0700001.01.0060-000024-2022-000007-2023,RG BONO CONSULTORIA SERVIÇOS E PROJ AGROP FLOR AMB LTDA ME,Prefeitura Municipal de Anchieta,Pregão Presencial,1197000.0,6114487.5,410.8176691729323
008E0700001-2022.008E0700001.01.0019-000020-2022-000093-2022,CARLOS REZENDE DA SILVA 10055146740,Prefeitura Municipal de Apiacá,Pregão Eletrônico,85300.5,341202.0,300.0
008E0700001-2022.008E0700001.17.0001-000001-2022-000031-2025,LUCAS RAFAEL ANTUNES MOREIRA,Prefeitura Municipal de Apiacá,,1.0,1.0,0.0
007E0700001-2022.007E0700001.02.0061-000063-2022-000016-2023,SINALES SINALIZAÇÃO E.S. LTDA.,Prefeitura Municipal de Anchieta,Pregão Presencial,1502000.0,7507590.4,399.83957390146475
007E0700001-2022.007E0700001.09.0011-000060-2022,ANDERSON LUDOVICO PERDIGÃO,Prefeitura Municipal de Anchieta,,78000.0,612080.91,684.7191153846154
007L0200001-2022.007L0200001.01.0004-000005-2022-000005-2022,EBALMAQ COMERCIO E INFORMATICA LTDA,Câmara Municipal de Anchieta,Pregão Presencial,22000.0,61593.09,179.9685909090909
008E0700001-2022.008E0700001.01.0005-000004-2022-000043-2022,HENRIQUES E PEDROZA TRANSPORTES LTDA-ME,Prefeitura Municipal de Apiacá,Pregão Eletrônico,82225.0,366437.5,345.65217391304344
009E0100001-2022.009E0100001.01.0001-000017-2022-000051-2022,ADIGE ARQUITETURA E ENGENHARIA LTDA,Serviço Autônomo de Água e Esgoto de Aracruz,Pregão Eletrônico,1170989.58,2892450.24,147.00905024278697
009E0100001-2022.009E0100001.01.0040-000031-2022-000052-2022,SA GESTAO DE SERVICOS ESPECIALIZADOS EIRELI,Serviço Autônomo de Água e Esgoto de Aracruz,Pregão Eletrônico,576999.36,1114909.11,93.22536336955385
009E0100001-2022.009E0100001.01.0069-000007-2023-000035-2023,AGAPE ASSESSORIA E CONSULTORIA LTDA EPP,Serviço Autônomo de Água e Esgoto de Aracruz,Pregão Eletrônico,48000.0,167250.0,248.4375
009E0500001-2022.009E0500001.01.0008-26-2022-031-2022,NEO CONSULTORIA E ADMINISTRAÇÃO DE BENEFÍCIOS EIRELI-EPP,Fundo Municipal de Saúde de Aracruz,Pregão Eletrônico,1967530.02,9345767.61,375.00000076237717
009E0500001-2022.009E0500001.02.0011-18-2022-023-2022,HENRIQUE JOSÉ DA MOTA NETO ME,Fundo Municipal de Saúde de Aracruz,Pregão Eletrônico,315000.0,1260000.0,300.0
009E0500001-2022.009E0500001.09.0009-020-2022,MARIA LOPES,Fundo Municipal de Saúde de Aracruz,,40800.0,154097.55,277.69007352941173
009E0500001-2022.009E0500001.09.0005-012-A-B-2022,LUIZ MARCOS VIEIRA MORELATO,Fundo Municipal de Saúde de Aracruz,,90356.64,140509.92,55.50591522659543
009E0500001-2022.009E0500001.09.0005-012-A-C-2022,RAUL MARCOS MANTOVANI MORELLATO,Fundo Municipal de Saúde de Aracruz,,11294.58,19970.94,76.81879273067258
009E0500001-2022.009E0500001.09.0005-012-A-D-2022,LIVIA MANTOVANI MORELLATO,Fundo Municipal de Saúde de Aracruz,,11294.58,19970.94,76.81879273067258
009E0600002-2022.009E0600002.09.0003-082-2022,IZABEL BOSI CAVALLIERI,Secretaria Municipal de Desenvolvimento Social,,108000.0,596400.0,452.22222222222223
009E0600003-2022.009E0600003.01.0001-27-2022-104-2022,TECTRILHA INFORMATICA LTDA EPP,Secretaria Municipal de Planejamento,Pregão Eletrônico,164000.0,788000.0,380.4878048780488
009E0600023-2022.009E0600004.02.0001-30-2022-075-2022,MANDTEL MANDELLI TELECOMUNICACOES LT,Secretaria Municipal de Transformação Digital de Aracruz,Pregão Eletrônico,2492999.99,7193472.59,188.54683589469246
009E0600006-2022.009E0600006.01.0001-047-2022-102-2023,ECCEDERE TECNOLOGIA DA INFORMAÇÃO PROCESSAMENTO DE DADOS LTDA,Secretaria Municipal da Fazenda,Pregão Eletrônico,312686.36,1184764.04,278.8985359003188
009E0600001-2022.009E0600001.10.0001-238-2022,TECTRILHA INFORMATICA LTDA EPP,Controladoria Geral de Aracruz,,67200.0,257040.0,282.5
009E0600013-2022.009E0600013.01.0006-035-2022-098-2022,MASTER AUTOMOTORES EIRELI,Secretaria de Educação de Aracruz,Pregão Eletrônico,44400.0,177600.0,300.0
009E0600011-2022.009E0600011.01.0001-014-2022-064-2022,COREPLAN GESTAO TECNOLOGIA E SERVICOS LTDA,Procuradoria Geral do Município de Aracruz,Pregão Eletrônico,288527.07,1052635.35,264.83070721925674
009E0600013-2022.009E0600013.01.0013-13-2022-041-2023,DESTAK CONTRUTORA E INCORPORADORA LTDA,Secretaria de Educação de Aracruz,Concorrência,4262584.61,5635057.34,32.19813459608956
009E0600014-2022.009E0600014.01.0016-015-2022-024-2023,MAR & SOL SERVIÇOS DE CONSTRUÇÃO CIVIL EIRELI,Secretaria Municipal de Obras de Aracruz,Concorrência,27847983.33,32789707.5,17.74535739784214
009E0600017-2022.009E0600017.16.0001-04-2021-142-2022,ENGECEL CONSTRUCOES E SERVICOS LTDA EPP,Secretaria Municipal de Serviços Urbanos de Aracruz,,3026431.13,12105724.52,300.00000000000006
009E0600017-2022.009E0600017.01.0001-020-2022-153-2022,NARCIZO TREVILIN E CIA LTDA EPP,Secretaria Municipal de Serviços Urbanos de Aracruz,Pregão Eletrônico,354000.0,1416000.0,300.0
009E0600017-2022.009E0600017.01.0001-020-2022-154-2022,LOSERV LOCAÇÕES E SERVIÇOS LTDA ME,Secretaria Municipal de Serviços Urbanos de Aracruz,Pregão Eletrônico,364788.0,1459152.0,300.0
009E0800001-2022.009E0800001.09.0006-3-2022,LDB CONSULTORIA FINANCEIRA LTDA EPP,Instituto de Previdência dos Servidores do Município de Aracruz,,6960.0,27840.0,300.0
009E0600019-2022.009E0600019.01.0001-06-2022-063-2022,TRANSJANINE LOCAÇOES LTDA EPP,"Secretaria Municipal de Agricultura, Pecuária e Pesca de Aracruz",Pregão Eletrônico,1843200.0,9307238.4,404.95
009E0600019-2022.009E0600019.01.0001-06-2022-061-2022,LOGÍSTICA PANORAMA TRANSPORTES E LOCAÇÕES LTDA,"Secretaria Municipal de Agricultura, Pecuária e Pesca de Aracruz",Pregão Eletrônico,381600.0,1604246.4,320.4
009E0600019-2022.009E0600019.01.0001-06-2022-062-2022,NARCIZO TREVILIN E CIA LTDA EPP,"Secretaria Municipal de Agricultura, Pecuária e Pesca de Aracruz",Pregão Eletrônico,1291920.0,5856594.72,353.3248746052387
009E0600019-2022.009E0600019.01.0003-57-2022-218-2022,NEO CONSULTORIA E ADMINISTRAÇÃO DE BENEFÍCIOS EIRELI-EPP,"Secretaria Municipal de Agricultura, Pecuária e Pesca de Aracruz",Pregão Eletrônico,3000000.0,12000000.0,300.0
009L0200001-2022.009L0200001.10.0001-7-2022,LIZ SERVIÇOS ONLINE LTDA,Câmara Municipal de Aracruz,,5273.76,21095.04,300.0
009E0800001-2022.009E0800001.09.0014-4-2022,SANTA TERESA SAÚDE EIRELI ME,Instituto de Previdência dos Servidores do Município de Aracruz,,17599.2,70396.8,300.0
010E0500001-2022.010E0500001.09.0062-033-2022,SAPRA LANDAUER SERVIÇO DE ASSESSORIA E PROTEÇÃO RADIOLOGICA LTDA,Fundo Municipal de Saúde de Atílio Vivacqua,,1149.95,4730.9,311.4004956737249
010E0500001-2022.010E0500001.01.0011-15-2022-002-2023,SEGUROS SURA S/A,Fundo Municipal de Saúde de Atílio Vivacqua,Pregão Presencial,33500.0,153724.37,358.8787164179104
